,Name,Intro,Link
0,Hydro X,REINVENTING HYDROGEN STORAGE,https://finder.startupnationcentral.org/company_page/nrgstoredge
1,Addionics,High-performance Rechargeable Batteries,https://finder.startupnationcentral.org/company_page/addionics
2,BladeRanger,Autonomous Cleaning System for Solar Panels,https://finder.startupnationcentral.org/company_page/bladeranger
3,H2 Energy Now,Energy Storage Solution,https://finder.startupnationcentral.org/company_page/h2-energy-now
4,Copprint,Conductive Copper Printing,https://finder.startupnationcentral.org/company_page/copprint
5,Solight,Solar Technology for Daytime Interior Lighting,https://finder.startupnationcentral.org/company_page/solight
6,The Sustainable Group,AI-powered Circular Self-sustained Infrastructure,https://finder.startupnationcentral.org/company_page/the-sustainable-group
7,PDP-Tech,Predictive Maintenance Solution,https://finder.startupnationcentral.org/company_page/pdp-technologies
8,Nostromo Energy,Water-based Energy Storage Technology,https://finder.startupnationcentral.org/company_page/nostromo-energy
9,optiQGain,Molecular-level Analysis,https://finder.startupnationcentral.org/company_page/optiqgain
10,GenCell,Hydrogen and Ammonia Fuel Cell Power Solutions,https://finder.startupnationcentral.org/company_page/gencell
11,Electriq~Global,"Hydrogen-rich, Zero-emissions Energy Storage and Transportation",https://finder.startupnationcentral.org/company_page/terragenic
12,Eco Wave Power,Using Wave Energy for Power,https://finder.startupnationcentral.org/company_page/eco-wave-power
13,H2Pro,Hydrogen Fuel Production Technology,https://finder.startupnationcentral.org/company_page/h2pro
14,Hydrolite,Fuel Cell and Electrolyzer Technology,https://finder.startupnationcentral.org/company_page/pocelltech
15,Sol Chip,Solar Battery and IoT Communication Platform,https://finder.startupnationcentral.org/company_page/sol-chip
16,StoreDot,Extreme Fast-charging Electric Vehicle Batteries,https://finder.startupnationcentral.org/company_page/storedot
17,CENS Materials,"Transforming Li-ion Batteries into Fast-charge, High-energy Power Cells",https://finder.startupnationcentral.org/company_page/cens-materials
18,Phinergy,Metal–Air Energy Generation and Storage Systems,https://finder.startupnationcentral.org/company_page/phinergy
19,CrystalEn Semiconductor,Single-crystal Diamond Production,https://finder.startupnationcentral.org/company_page/crystalen-semiconductor
20,OneView,Platform for Creating Virtual Synthetic Datasets,https://finder.startupnationcentral.org/company_page/oneview
21,NewCO2Fuels,CO2-based Fuel Production,https://finder.startupnationcentral.org/company_page/newco2fuels-ncf
22,Apollo,Solar Energy Production Technology,https://finder.startupnationcentral.org/company_page/solarpaint
23,Computerized Electricity Systems (CES),Energy Management Systems,https://finder.startupnationcentral.org/company_page/computerized-electricity-systems-ces
24,Augwind,Underground Energy Storage Systems,https://finder.startupnationcentral.org/company_page/augwind
25,Driivz,Electric Vehicle Charging and Energy Management Solution,https://finder.startupnationcentral.org/company_page/driivz
26,Zooz Power,EV Charging and Energy Storage Solutions,https://finder.startupnationcentral.org/company_page/chakratec
27,Sowillo Energy,Waste Heat Recuperation System for Buildings,https://finder.startupnationcentral.org/company_page/sowillo
28,Zohar CleanTech,Energy-generating Waste Disposal Systems,https://finder.startupnationcentral.org/company_page/zohar-cleantech
29,BreezoMeter,Health-focused Environmental Intelligence,https://finder.startupnationcentral.org/company_page/breezometer
30,Brenmiller Energy,Thermal Energy Storage,https://finder.startupnationcentral.org/company_page/brenmiller-energy
31,Soapy Care,IoT Micro Hygiene Station,https://finder.startupnationcentral.org/company_page/soapy
32,Kenotomi,Electro-optical Technology for BIPV and BAPV Systems,https://finder.startupnationcentral.org/company_page/kenotomi
33,Prisma Photonics,Utility Monitoring for Large-scale Infrastructure,https://finder.startupnationcentral.org/company_page/prisma-photonics
34,Blue Sphere,Transforming Waste into Clean Energy,https://finder.startupnationcentral.org/company_page/blue-sphere
