,Name,Intro,Link
0,Pixellot,AI-automated Sports Production,https://finder.startupnationcentral.org/company_page/pixellot
1,B-Cure Laser,Soft Laser Therapy Device for Home Use,https://finder.startupnationcentral.org/company_page/b-cure-laser
2,Playwork,IoT Physiotherapy Solution,https://finder.startupnationcentral.org/company_page/gemon
3,Fanzone,Transportation Platform for Live Events,https://finder.startupnationcentral.org/company_page/fanzone
4,Vi Labs,AI-based Fitness Trainer,https://finder.startupnationcentral.org/company_page/lifebeam
5,SPECTALIX,AI Technology for Mobile Video,https://finder.startupnationcentral.org/company_page/spectalix
6,FormaGlow,Versatile Battery-free Light Source,https://finder.startupnationcentral.org/company_page/formaglow
7,Tenko Games,Mobile Game Developer,https://finder.startupnationcentral.org/company_page/stanga-games
8,Movez,AI and IoT Technology for Sports Activities,https://finder.startupnationcentral.org/company_page/movez
9,ShapeShift Gaming,Game Tracking and Analytics,https://finder.startupnationcentral.org/company_page/shapeshift-gaming
10,vBrand,AI Data Platform for Sports Marketing,https://finder.startupnationcentral.org/company_page/vbrand1
11,Playermaker,Motion Tracking and Analysis for Athletes,https://finder.startupnationcentral.org/company_page/motionize
12,Tokabot,Group Chatbot for Football Fans,https://finder.startupnationcentral.org/company_page/tokabot
13,Medic4all,Telemedicine Services and Technology,https://finder.startupnationcentral.org/company_page/medic4all
14,Sidelines,Sports Analysis Platform,https://finder.startupnationcentral.org/company_page/fantasy-advantage
15,Arbox,Fitness Business Management and Member Application Platform,https://finder.startupnationcentral.org/company_page/arbox
16,WSC Sports Technologies,Automatic Video Generation for Sports Events,https://finder.startupnationcentral.org/company_page/w-s-c-sports-technologies
17,Parallax,AR Mobile Platform for Sport Fans,https://finder.startupnationcentral.org/company_page/parallax
18,Champion.ai,Football Gaming Chatbot for Facebook Messenger,https://finder.startupnationcentral.org/company_page/champion-ai
19,Funatix,Online Sports Games,https://finder.startupnationcentral.org/company_page/proyoli-gaming
20,Playtness,Virtual Reality Personal Trainer,https://finder.startupnationcentral.org/company_page/iway-technologies
21,Sportstar Alliance,Blockchain Monetization Platform for Sports Fans,https://finder.startupnationcentral.org/company_page/sportstar-alliance
22,Griiip,Racing Media Platform,https://finder.startupnationcentral.org/company_page/griiip
23,Say Your Bet,Social Platform for Sports Betters,https://finder.startupnationcentral.org/company_page/say-your-bet
24,B7WIN,"Fast, Limited Time Predictions During Live Sports",https://finder.startupnationcentral.org/company_page/b7win
25,fitto,"Smart, Trackable Packaging for Supplements",https://finder.startupnationcentral.org/company_page/fitto-world
26,SpotOn,HD-quality Action Videos,https://finder.startupnationcentral.org/company_page/spoton-video
27,PhysiMax Technologies,AI-powered Musculoskeletal Self-assessment and Optimization Platform,https://finder.startupnationcentral.org/company_page/physihome-technologies
28,Fanfare,Second-screen App for Viewer Engagement,https://finder.startupnationcentral.org/company_page/fanfare
29,Play ASAP,Training Platform for Competitive Gamers,https://finder.startupnationcentral.org/company_page/play-asap
